position,name,cost,date,home team,home goals,away goals,away team,team,start minute,finish minute,minutes,goals,penalties,assists,goals+assists,yellow cards,red cards,clean sheets,points
Пз,Классон,8.5,29.07.2018,Рубин,2,1,Краснодар,Краснодар,63,90,28,0,0,0,0,0,0,0,1
Пз,Классон,8.5,04.08.2018,Урал,1,2,Краснодар,Краснодар,1,81,81,1,0,0,1,0,0,0,7
Пз,Классон,8.5,13.08.2018,Уфа,0,1,Краснодар,Краснодар,1,90,90,0,0,0,0,0,0,1,3
Пз,Классон,8.5,18.08.2018,Краснодар,0,1,Спартак,Краснодар,1,71,71,0,0,0,0,0,0,0,2
Пз,Классон,8.5,26.08.2018,Оренбург,1,1,Краснодар,Краснодар,1,90,90,0,0,0,0,0,0,0,2
Пз,Классон,8.5,01.09.2018,Краснодар,2,1,Локомотив,Краснодар,1,90,90,0,0,0,0,0,0,0,2
Пз,Классон,8.5,16.09.2018,Анжи,0,4,Краснодар,Краснодар,1,90,90,1,0,1,2,0,0,1,11
Пз,Классон,8.5,24.09.2018,Крылья Советов,0,3,Краснодар,Краснодар,1,90,90,0,0,0,0,0,0,1,3
Пз,Классон,8.5,30.09.2018,Краснодар,3,0,Динамо,Краснодар,1,73,73,2,0,0,2,0,0,1,13
Пз,Классон,8.5,07.10.2018,Зенит,2,1,Краснодар,Краснодар,1,90,90,0,0,0,0,1,0,0,1
Пз,Классон,8.5,21.10.2018,Краснодар,0,1,Ахмат,Краснодар,1,72,72,0,0,0,0,0,0,0,2
Пз,Классон,8.5,28.10.2018,ЦСКА,1,2,Краснодар,Краснодар,1,90,90,1,0,0,1,0,0,0,7
Пз,Классон,8.5,04.11.2018,Краснодар,2,2,Ростов,Краснодар,1,90,90,0,0,0,0,0,0,0,2
Пз,Классон,8.5,11.11.2018,Краснодар,3,0,Енисей,Краснодар,1,90,90,1,0,1,2,0,0,1,11
Пз,Классон,8.5,02.12.2018,Краснодар,2,0,Урал,Краснодар,1,90,90,0,0,1,1,1,0,1,5
Пз,Классон,8.5,09.12.2018,Краснодар,1,1,Уфа,Краснодар,1,82,82,0,0,0,0,0,0,0,2
Пз,Классон,8.5,03.03.2019,Спартак,1,1,Краснодар,Краснодар,1,90,90,0,0,0,0,0,0,0,2
Пз,Классон,8.5,11.03.2019,Краснодар,2,2,Оренбург,Краснодар,1,90,90,0,0,0,0,0,0,0,2
Пз,Классон,8.5,17.03.2019,Локомотив,1,0,Краснодар,Краснодар,1,90,90,0,0,0,0,0,0,0,2
Пз,Классон,8.5,31.03.2019,Краснодар,5,0,Анжи,Краснодар,1,72,72,1,1,1,2,0,0,1,11
Пз,Классон,8.5,06.04.2019,Краснодар,1,0,Крылья Советов,Краснодар,1,90,90,1,1,0,1,0,0,1,8
Пз,Классон,8.5,14.04.2019,Динамо,1,1,Краснодар,Краснодар,1,90,90,0,0,0,0,0,0,0,2
Пз,Классон,8.5,20.04.2019,Краснодар,2,3,Зенит,Краснодар,1,90,90,0,0,1,1,0,0,0,5
Пз,Классон,8.5,24.04.2019,Ахмат,1,1,Краснодар,Краснодар,1,90,90,1,1,0,1,0,0,0,7
Пз,Классон,8.5,28.04.2019,Краснодар,2,0,ЦСКА,Краснодар,1,90,90,0,0,0,0,0,0,1,3
Пз,Классон,8.5,05.05.2019,Ростов,1,1,Краснодар,Краснодар,1,90,90,1,1,0,1,0,0,0,7
Пз,Классон,8.5,11.05.2019,Енисей,0,4,Краснодар,Краснодар,1,90,90,1,0,0,1,0,0,1,8
Пз,Классон,8.5,19.05.2019,Арсенал Тула,0,3,Краснодар,Краснодар,1,90,90,0,0,1,1,0,0,1,6
Пз,Классон,8.5,26.05.2019,Краснодар,1,0,Рубин,Краснодар,1,90,90,1,0,0,1,0,0,1,8
Вр,Акинфеев,6.5,31.07.2018,Крылья Советов,0,0,ЦСКА,ЦСКА,1,90,90,0,0,0,0,0,0,1,6
Вр,Акинфеев,6.5,05.08.2018,ЦСКА,0,1,Ростов,ЦСКА,1,90,90,0,0,0,0,0,0,0,2
Вр,Акинфеев,6.5,11.08.2018,Енисей,1,1,ЦСКА,ЦСКА,1,90,90,0,0,0,0,0,0,0,2
Вр,Акинфеев,6.5,18.08.2018,ЦСКА,3,0,Арсенал Тула,ЦСКА,1,90,90,0,0,0,0,0,0,1,6
Вр,Акинфеев,6.5,25.08.2018,Рубин,1,1,ЦСКА,ЦСКА,1,90,90,0,0,0,0,0,0,0,2
Вр,Акинфеев,6.5,01.09.2018,ЦСКА,4,0,Урал,ЦСКА,1,90,90,0,0,0,0,0,0,1,6
Вр,Акинфеев,6.5,15.09.2018,Уфа,0,3,ЦСКА,ЦСКА,1,90,90,0,0,0,0,0,0,1,6
Вр,Акинфеев,6.5,23.09.2018,ЦСКА,1,1,Спартак,ЦСКА,1,90,90,0,0,0,0,0,0,0,2
Вр,Акинфеев,6.5,28.09.2018,Оренбург,0,1,ЦСКА,ЦСКА,1,90,90,0,0,0,0,0,0,1,6
